source_id, ra, dec, distance_modulus, type
5039633604864050048,  19.678817, -26.591158,  16.71,  bhb
4969932298603707776,  34.759075, -33.963078,  17.21,  bhb
4970235699391286016,  33.274133, -33.535181,  17.16,  bhb
5034947868558961408,  17.317954, -25.139658,  16.62,  bhb
5019461998900236032,  31.822883, -31.355325,  17.23,  bhb
5023147153855340416,  23.670350, -29.264217,  16.75,  bhb
5018812118808572800,  28.094058, -31.854194,  16.85,  bhb
2349229398743966976,  13.115875, -22.792203,  16.46,  bhb
2349241111119998720,  13.161508, -22.616203,  16.45,  bhb
5036291776710108800,  21.847692, -27.870422,  16.80,  bhb
5017720033181172352,  30.135733, -33.275844,  16.92,  bhb
4969704630977398528,  30.771642, -33.305861,  16.93,  bhb
4966144274887456512,  37.109871, -35.706761,  17.29,  bhb
5033819563470215296,  18.654975, -26.549133,  16.61,  rrl
5039937417965798656,  18.719708, -25.649181,  16.67,  rrl
2350310424833246592,   9.974475, -20.892894,  16.37,  rrl
2346142279330813312,  13.976196, -23.251867,  16.21,  rrl
4965998903131096192,  38.242013, -35.814825,  17.29,  rrl
